"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Sacramento County, CA"	"06067"	213	1530615	13.9
	"San Bernardino County, CA"	"06071"	197	2157404	9.1
	"San Diego County, CA"	"06073"	483	3337685	14.5
	"San Francisco County, CA"	"06075"	184	884363	20.8
	"San Joaquin County, CA"	"06077"	145	745424	19.5
	"San Luis Obispo County, CA"	"06079"	43	283405	15.2
	"San Mateo County, CA"	"06081"	80	771410	10.4
	"Santa Barbara County, CA"	"06083"	67	448150	15.0
	"Santa Clara County, CA"	"06085"	157	1938153	8.1
	"Santa Cruz County, CA"	"06087"	43	275897	15.6
	"Shasta County, CA"	"06089"	34	179921	18.9
	"Solano County, CA"	"06095"	59	445458	13.2
	"Sonoma County, CA"	"06097"	69	504217	13.7
	"Stanislaus County, CA"	"06099"	68	547899	12.4
	"Sutter County, CA"	"06101"	10	96648	Unreliable
	"Tulare County, CA"	"06107"	35	464493	7.5
	"Tuolumne County, CA"	"06109"	13	54248	Unreliable
	"Ventura County, CA"	"06111"	148	854223	17.3
	"Yolo County, CA"	"06113"	27	219116	12.3
	"Yuba County, CA"	"06115"	16	77031	Unreliable
	"Adams County, CO"	"08001"	110	503167	21.9
	"Arapahoe County, CO"	"08005"	85	643052	13.2
	"Boulder County, CO"	"08013"	45	322514	14.0
	"Denver County, CO"	"08031"	152	704621	21.6
	"Douglas County, CO"	"08035"	30	335299	8.9
	"El Paso County, CO"	"08041"	185	699232	26.5
	"Fremont County, CO"	"08043"	12	47559	Unreliable
	"Jefferson County, CO"	"08059"	95	574613	16.5
	"Larimer County, CO"	"08069"	50	343976	14.5
	"Mesa County, CO"	"08077"	40	151616	26.4
	"Pueblo County, CO"	"08101"	51	166475	30.6
	"Weld County, CO"	"08123"	34	304633	11.2
	"Fairfield County, CT"	"09001"	173	949921	18.2
	"Hartford County, CT"	"09003"	313	895388	35.0
	"Litchfield County, CT"	"09005"	57	182177	31.3
	"Middlesex County, CT"	"09007"	49	163410	30.0
	"New Haven County, CT"	"09009"	297	860435	34.5
	"New London County, CT"	"09011"	91	269033	33.8
	"Tolland County, CT"	"09013"	47	151461	31.0
	"Windham County, CT"	"09015"	45	116359	38.7
	"Kent County, DE"	"10001"	41	176824	23.2
	"New Castle County, DE"	"10003"	233	559793	41.6
	"Sussex County, DE"	"10005"	64	225322	28.4
	"District of Columbia, DC"	"11001"	310	693972	44.7
	"Alachua County, FL"	"12001"	27	266944	10.1
	"Bay County, FL"	"12005"	34	183563	18.5
	"Brevard County, FL"	"12009"	247	589162	41.9
	"Broward County, FL"	"12011"	555	1935878	28.7
	"Charlotte County, FL"	"12015"	11	182033	Unreliable
	"Citrus County, FL"	"12017"	37	145647	25.4
	"Clay County, FL"	"12019"	57	212230	26.9
	"Collier County, FL"	"12021"	66	372880	17.7
	"Columbia County, FL"	"12023"	17	69612	Unreliable
	"Duval County, FL"	"12031"	443	937934	47.2
	"Escambia County, FL"	"12033"	55	313512	17.5
	"Flagler County, FL"	"12035"	20	110510	18.1
	"Hernando County, FL"	"12053"	38	186553	20.4
	"Highlands County, FL"	"12055"	19	102883	Unreliable
	"Hillsborough County, FL"	"12057"	236	1408566	16.8
	"Indian River County, FL"	"12061"	23	154383	14.9
	"Lake County, FL"	"12069"	85	346017	24.6
	"Lee County, FL"	"12071"	232	739224	31.4
	"Leon County, FL"	"12073"	26	290292	9.0
	"Levy County, FL"	"12075"	10	40355	Unreliable
	"Manatee County, FL"	"12081"	136	385571	35.3
	"Marion County, FL"	"12083"	132	354353	37.3
	"Martin County, FL"	"12085"	42	159923	26.3
	"Miami-Dade County, FL"	"12086"	325	2751796	11.8
	"Monroe County, FL"	"12087"	19	77013	Unreliable
	"Nassau County, FL"	"12089"	24	82721	29.0
	"Okaloosa County, FL"	"12091"	40	202970	19.7
	"Okeechobee County, FL"	"12093"	10	41605	Unreliable
	"Orange County, FL"	"12095"	229	1348975	17.0
	"Osceola County, FL"	"12097"	65	352180	18.5
	"Palm Beach County, FL"	"12099"	616	1471150	41.9
	"Pasco County, FL"	"12101"	155	525643	29.5
	"Pinellas County, FL"	"12103"	251	970637	25.9
	"Polk County, FL"	"12105"	145	686483	21.1
	"Putnam County, FL"	"12107"	16	73464	Unreliable
	"St. Johns County, FL"	"12109"	41	243812	16.8
	"St. Lucie County, FL"	"12111"	87	313506	27.8
	"Santa Rosa County, FL"	"12113"	31	174272	17.8
	"Sarasota County, FL"	"12115"	129	419119	30.8
	"Seminole County, FL"	"12117"	108	462659	23.3
	"Sumter County, FL"	"12119"	12	125165	Unreliable
	"Volusia County, FL"	"12127"	141	538692	26.2
	"Walton County, FL"	"12131"	10	68376	Unreliable
	"Barrow County, GA"	"13013"	17	79061	Unreliable
	"Bartow County, GA"	"13015"	26	105054	24.7
	"Bibb County, GA"	"13021"	20	152862	13.1
	"Carroll County, GA"	"13045"	34	117812	28.9
	"Catoosa County, GA"	"13047"	22	66550	33.1
	"Chatham County, GA"	"13051"	38	290501	13.1
	"Cherokee County, GA"	"13057"	38	247573	15.3
	"Clarke County, GA"	"13059"	13	127064	Unreliable
	"Clayton County, GA"	"13063"	36	285153	12.6
	"Cobb County, GA"	"13067"	148	755754	19.6
	"Coffee County, GA"	"13069"	10	43014	Unreliable
	"Columbia County, GA"	"13073"	25	151579	16.5
	"Coweta County, GA"	"13077"	23	143114	16.1
	"DeKalb County, GA"	"13089"	76	753253	10.1
	"Douglas County, GA"	"13097"	25	143882	17.4
	"Effingham County, GA"	"13103"	11	59982	Unreliable
	"Fayette County, GA"	"13113"	15	112549	Unreliable
	"Floyd County, GA"	"13115"	12	97613	Unreliable
	"Forsyth County, GA"	"13117"	31	227967	13.6
	"Fulton County, GA"	"13121"	164	1041423	15.7
	"Gilmer County, GA"	"13123"	10	30674	Unreliable
	"Glynn County, GA"	"13127"	16	85282	Unreliable
	"Gwinnett County, GA"	"13135"	96	920260	10.4
	"Hall County, GA"	"13139"	34	199335	17.1
	"Henry County, GA"	"13151"	28	225813	12.4
	"Houston County, GA"	"13153"	26	153479	16.9
	"Jackson County, GA"	"13157"	12	67519	Unreliable
	"Lumpkin County, GA"	"13187"	11	32873	Unreliable
	"Muscogee County, GA"	"13215"	25	194058	12.9
	"Newton County, GA"	"13217"	16	108078	Unreliable
	"Paulding County, GA"	"13223"	23	159445	14.4
	"Richmond County, GA"	"13245"	56	201800	27.8
	"Rockdale County, GA"	"13247"	11	90312	Unreliable
	"Spalding County, GA"	"13255"	10	65380	Unreliable
	"Troup County, GA"	"13285"	11	69786	Unreliable
	"Walker County, GA"	"13295"	16	68939	Unreliable
	"Walton County, GA"	"13297"	14	91600	Unreliable
	"Whitfield County, GA"	"13313"	17	104658	Unreliable
	"Hawaii County, HI"	"15001"	22	200381	11.0
	"Honolulu County, HI"	"15003"	148	988650	15.0
	"Maui County, HI"	"15009"	24	166260	14.4
	"Ada County, ID"	"16001"	69	456849	15.1
	"Bannock County, ID"	"16005"	22	85269	25.8
	"Bonneville County, ID"	"16019"	18	114595	Unreliable
	"Canyon County, ID"	"16027"	19	216699	Unreliable
	"Kootenai County, ID"	"16055"	22	157637	14.0
	"Nez Perce County, ID"	"16069"	10	40385	Unreliable
	"Twin Falls County, ID"	"16083"	14	85124	Unreliable
	"Boone County, IL"	"17007"	13	53513	Unreliable
	"Champaign County, IL"	"17019"	35	209399	16.7
	"Cook County, IL"	"17031"	1235	5211263	23.7
	"DeKalb County, IL"	"17037"	20	104733	19.1
	"DuPage County, IL"	"17043"	148	930128	15.9
	"Franklin County, IL"	"17055"	16	39041	Unreliable
	"Jackson County, IL"	"17077"	11	58284	Unreliable
	"Jersey County, IL"	"17083"	15	21941	Unreliable
	"Kane County, IL"	"17089"	91	534667	17.0
	"Kankakee County, IL"	"17091"	34	109605	31.0
	"Kendall County, IL"	"17093"	17	126218	Unreliable
	"Lake County, IL"	"17097"	96	703520	13.6
	"LaSalle County, IL"	"17099"	36	110067	32.7
	"Livingston County, IL"	"17105"	10	36518	Unreliable
	"McHenry County, IL"	"17111"	84	309122	27.2
	"McLean County, IL"	"17113"	33	172290	19.2
	"Macon County, IL"	"17115"	19	105801	Unreliable
	"Madison County, IL"	"17119"	95	265428	35.8
	"Peoria County, IL"	"17143"	61	183011	33.3
	"Rock Island County, IL"	"17161"	23	144808	15.9
	"St. Clair County, IL"	"17163"	70	262479	26.7
	"Sangamon County, IL"	"17167"	52	196452	26.5
	"Tazewell County, IL"	"17179"	35	133526	26.2
	"Vermilion County, IL"	"17183"	25	77909	32.1
	"Will County, IL"	"17197"	151	692661	21.8
	"Williamson County, IL"	"17199"	14	67328	Unreliable
	"Winnebago County, IL"	"17201"	111	284778	39.0
	"Allen County, IN"	"18003"	93	372877	24.9
	"Bartholomew County, IN"	"18005"	35	82040	42.7
	"Boone County, IN"	"18011"	11	65875	Unreliable
	"Clark County, IN"	"18019"	40	116973	34.2
	"Dearborn County, IN"	"18029"	17	49741	Unreliable
	"Delaware County, IN"	"18035"	51	115184	44.3
	"Elkhart County, IN"	"18039"	37	205032	18.0
	"Fayette County, IN"	"18041"	20	23209	86.2
	"Floyd County, IN"	"18043"	28	77071	36.3
	"Grant County, IN"	"18053"	28	66491	42.1
	"Hamilton County, IN"	"18057"	49	323747	15.1
	"Hancock County, IN"	"18059"	13	74985	Unreliable
	"Hendricks County, IN"	"18063"	33	163685	20.2
	"Henry County, IN"	"18065"	11	48476	Unreliable
	"Howard County, IN"	"18067"	39	82363	47.4
	"Jackson County, IN"	"18071"	18	43884	Unreliable
	"Jay County, IN"	"18075"	15	20945	Unreliable
	"Jennings County, IN"	"18079"	12	27626	Unreliable
	"Johnson County, IN"	"18081"	35	153897	22.7
	"Kosciusko County, IN"	"18085"	20	79206	25.3
	"Lake County, IN"	"18089"	164	485640	33.8
	"La Porte County, IN"	"18091"	29	110029	26.4
	"Madison County, IN"	"18095"	51	129498	39.4
	"Marion County, IN"	"18097"	365	950082	38.4
	"Marshall County, IN"	"18099"	11	46498	Unreliable
	"Monroe County, IN"	"18105"	28	146986	19.0
	"Montgomery County, IN"	"18107"	13	38525	Unreliable
	"Morgan County, IN"	"18109"	16	69713	Unreliable
	"Porter County, IN"	"18127"	46	168404	27.3
	"Randolph County, IN"	"18135"	17	24922	Unreliable
	"Ripley County, IN"	"18137"	11	28442	Unreliable
	"St. Joseph County, IN"	"18141"	71	270434	26.3
	"Scott County, IN"	"18143"	12	23870	Unreliable
	"Shelby County, IN"	"18145"	11	44395	Unreliable
	"Starke County, IN"	"18149"	14	22893	Unreliable
	"Tippecanoe County, IN"	"18157"	25	190587	13.1
	"Vanderburgh County, IN"	"18163"	66	181616	36.3
	"Vigo County, IN"	"18167"	17	107516	Unreliable
	"Wabash County, IN"	"18169"	13	31443	Unreliable
	"Wayne County, IN"	"18177"	66	66185	99.7
	"Black Hawk County, IA"	"19013"	14	132648	Unreliable
	"Johnson County, IA"	"19103"	13	149210	Unreliable
	"Linn County, IA"	"19113"	34	224115	15.2
	"Polk County, IA"	"19153"	81	481830	16.8
	"Pottawattamie County, IA"	"19155"	11	93386	Unreliable
	"Scott County, IA"	"19163"	28	172509	16.2
	"Butler County, KS"	"20015"	11	66878	Unreliable
	"Douglas County, KS"	"20045"	14	120793	Unreliable
	"Johnson County, KS"	"20091"	48	591178	8.1
	"Saline County, KS"	"20169"	16	54734	Unreliable
	"Sedgwick County, KS"	"20173"	89	513687	17.3
	"Shawnee County, KS"	"20177"	30	178187	16.8
	"Wyandotte County, KS"	"20209"	15	165288	Unreliable
	"Anderson County, KY"	"21005"	11	22544	Unreliable
	"Barren County, KY"	"21009"	12	43801	Unreliable
	"Boone County, KY"	"21015"	47	130728	36.0
	"Boyd County, KY"	"21019"	31	47979	64.6
	"Bullitt County, KY"	"21029"	37	80246	46.1
	"Campbell County, KY"	"21037"	71	92488	76.8
	"Carter County, KY"	"21043"	17	27144	Unreliable
	"Clark County, KY"	"21049"	19	36046	Unreliable
	"Daviess County, KY"	"21059"	13	100374	Unreliable
	"Estill County, KY"	"21065"	11	14277	Unreliable
	"Fayette County, KY"	"21067"	129	321959	40.1
	"Floyd County, KY"	"21071"	13	36271	Unreliable
	"Franklin County, KY"	"21073"	25	50485	49.5
	"Grant County, KY"	"21081"	10	24984	Unreliable
	"Grayson County, KY"	"21085"	11	26358	Unreliable
	"Greenup County, KY"	"21089"	16	35518	Unreliable
	"Hardin County, KY"	"21093"	20	108071	18.5
	"Harlan County, KY"	"21095"	10	26713	Unreliable
	"Harrison County, KY"	"21097"	10	18781	Unreliable
	"Hopkins County, KY"	"21107"	13	45547	Unreliable
	"Jefferson County, KY"	"21111"	361	771158	46.8
	"Jessamine County, KY"	"21113"	30	53375	56.2
	"Kenton County, KY"	"21117"	124	165399	75.0
	"Knox County, KY"	"21121"	14	31227	Unreliable
	"Laurel County, KY"	"21125"	13	60174	Unreliable
	"Madison County, KY"	"21151"	44	91226	48.2
	"Mason County, KY"	"21161"	11	17174	Unreliable
	"Montgomery County, KY"	"21173"	15	27928	Unreliable
	"Nelson County, KY"	"21179"	19	45640	Unreliable
	"Pendleton County, KY"	"21191"	10	14573	Unreliable
	"Pike County, KY"	"21195"	12	58883	Unreliable
	"Pulaski County, KY"	"21199"	15	64449	Unreliable
	"Scott County, KY"	"21209"	13	54873	Unreliable
	"Shelby County, KY"	"21211"	11	47421	Unreliable
	"Warren County, KY"	"21227"	14	128845	Unreliable
	"Whitley County, KY"	"21235"	16	36214	Unreliable
	"Ascension Parish, LA"	"22005"	28	122948	22.8
	"Bossier Parish, LA"	"22015"	14	127634	Unreliable
	"Caddo Parish, LA"	"22017"	33	246581	13.4
	"Calcasieu Parish, LA"	"22019"	27	202445	13.3
	"East Baton Rouge Parish, LA"	"22033"	85	446268	19.0
	"Jefferson Parish, LA"	"22051"	176	439036	40.1
	"Lafayette Parish, LA"	"22055"	47	242485	19.4
	"Lafourche Parish, LA"	"22057"	21	98426	21.3
	"Livingston Parish, LA"	"22063"	58	138228	42.0
	"Orleans Parish, LA"	"22071"	153	393292	38.9
	"Ouachita Parish, LA"	"22073"	21	155874	13.5
	"Rapides Parish, LA"	"22079"	29	131648	22.0
	"St. Bernard Parish, LA"	"22087"	18	46202	Unreliable
	"St. John the Baptist Parish, LA"	"22095"	14	43441	Unreliable
	"St. Landry Parish, LA"	"22097"	11	83497	Unreliable
	"St. Mary Parish, LA"	"22101"	14	50973	Unreliable
	"St. Tammany Parish, LA"	"22103"	84	256327	32.8
	"Tangipahoa Parish, LA"	"22105"	40	132497	30.2
	"Terrebonne Parish, LA"	"22109"	51	112086	45.5
	"Washington Parish, LA"	"22117"	31	46633	66.5
	"Androscoggin County, ME"	"23001"	22	107651	20.4
	"Cumberland County, ME"	"23005"	97	292500	33.2
	"Kennebec County, ME"	"23011"	55	121821	45.1
	"Knox County, ME"	"23013"	10	39790	Unreliable
	"Penobscot County, ME"	"23019"	62	151957	40.8
	"Somerset County, ME"	"23025"	19	50626	Unreliable
	"Washington County, ME"	"23029"	15	31593	Unreliable
	"York County, ME"	"23031"	92	204191	45.1
	"Allegany County, MD"	"24001"	39	71615	54.5
	"Anne Arundel County, MD"	"24003"	257	573235	44.8
	"Baltimore County, MD"	"24005"	422	832468	50.7
	"Calvert County, MD"	"24009"	37	91502	40.4
	"Caroline County, MD"	"24011"	15	33193	Unreliable
	"Carroll County, MD"	"24013"	60	167781	35.8
	"Cecil County, MD"	"24015"	73	102746	71.0
	"Charles County, MD"	"24017"	48	159700	30.1
	"Dorchester County, MD"	"24019"	14	32162	Unreliable
	"Frederick County, MD"	"24021"	84	252022	33.3
	"Garrett County, MD"	"24023"	11	29233	Unreliable
	"Harford County, MD"	"24025"	109	252160	43.2
	"Howard County, MD"	"24027"	61	321113	19.0
	"Montgomery County, MD"	"24031"	131	1058810	12.4
	"Prince George's County, MD"	"24033"	158	912756	17.3
	"Queen Anne's County, MD"	"24035"	12	49770	Unreliable
	"St. Mary's County, MD"	"24037"	40	112667	35.5
	"Talbot County, MD"	"24041"	11	37103	Unreliable
	"Washington County, MD"	"24043"	53	150578	35.2
	"Wicomico County, MD"	"24045"	33	102923	32.1
	"Worcester County, MD"	"24047"	18	51690	Unreliable
	"Baltimore city, MD"	"24510"	551	611648	90.1
	"Barnstable County, MA"	"25001"	76	213444	35.6
	"Berkshire County, MA"	"25003"	34	126313	26.9
	"Bristol County, MA"	"25005"	267	561483	47.6
	"Essex County, MA"	"25009"	326	785205	41.5
	"Franklin County, MA"	"25011"	12	70702	Unreliable
	"Hampden County, MA"	"25013"	122	469818	26.0
	"Hampshire County, MA"	"25015"	34	161834	21.0
	"Middlesex County, MA"	"25017"	372	1602947	23.2
	"Norfolk County, MA"	"25021"	167	700322	23.8
	"Plymouth County, MA"	"25023"	211	515142	41.0
	"Suffolk County, MA"	"25025"	275	797939	34.5
	"Worcester County, MA"	"25027"	267	826116	32.3
	"Allegan County, MI"	"26005"	15	116447	Unreliable
	"Bay County, MI"	"26017"	25	104239	24.0
	"Berrien County, MI"	"26021"	24	154259	15.6
	"Calhoun County, MI"	"26025"	46	134128	34.3
	"Clinton County, MI"	"26037"	13	78443	Unreliable
	"Eaton County, MI"	"26045"	18	109027	Unreliable
	"Genesee County, MI"	"26049"	161	407385	39.5
	"Grand Traverse County, MI"	"26055"	21	91807	22.9
	"Huron County, MI"	"26063"	11	31280	Unreliable
	"Ingham County, MI"	"26065"	76	290186	26.2
	"Ionia County, MI"	"26067"	12	64291	Unreliable
	"Jackson County, MI"	"26075"	13	158640	Unreliable
	"Kalamazoo County, MI"	"26077"	54	262985	20.5
	"Kent County, MI"	"26081"	129	648594	19.9
	"Lapeer County, MI"	"26087"	21	88174	23.8
	"Lenawee County, MI"	"26091"	13	98623	Unreliable
	"Livingston County, MI"	"26093"	44	189651	23.2
	"Macomb County, MI"	"26099"	394	871375	45.2
	"Monroe County, MI"	"26115"	59	149649	39.4
	"Montcalm County, MI"	"26117"	15	63550	Unreliable
	"Muskegon County, MI"	"26121"	41	173693	23.6
	"Newaygo County, MI"	"26123"	11	48242	Unreliable
	"Oakland County, MI"	"26125"	183	1250836	14.6
	"Ottawa County, MI"	"26139"	47	286383	16.4
	"Saginaw County, MI"	"26145"	50	191934	26.1
	"St. Clair County, MI"	"26147"	68	159350	42.7
	"Shiawassee County, MI"	"26155"	21	68446	30.7
	"Van Buren County, MI"	"26159"	24	75353	31.9
	"Washtenaw County, MI"	"26161"	73	367627	19.9
	"Wayne County, MI"	"26163"	756	1753616	43.1
	"Anoka County, MN"	"27003"	46	351373	13.1
	"Cass County, MN"	"27021"	10	29355	Unreliable
	"Dakota County, MN"	"27037"	39	421751	9.2
	"Hennepin County, MN"	"27053"	220	1252024	17.6
	"Mille Lacs County, MN"	"27095"	10	25872	Unreliable
	"Olmsted County, MN"	"27109"	15	154930	Unreliable
	"Ramsey County, MN"	"27123"	108	547974	19.7
	"St. Louis County, MN"	"27137"	37	200000	18.5
	"Scott County, MN"	"27139"	15	145827	Unreliable
	"Stearns County, MN"	"27145"	19	157822	Unreliable
	"Washington County, MN"	"27163"	28	256348	10.9
	"DeSoto County, MS"	"28033"	34	178751	19.0
	"Hancock County, MS"	"28045"	19	47053	Unreliable
	"Harrison County, MS"	"28047"	47	205027	22.9
	"Hinds County, MS"	"28049"	32	239497	13.4
	"Jackson County, MS"	"28059"	22	142152	15.5
	"Jones County, MS"	"28067"	12	67930	Unreliable
	"Lee County, MS"	"28081"	10	84933	Unreliable
	"Pearl River County, MS"	"28109"	21	55270	38.0
	"Rankin County, MS"	"28121"	14	152080	Unreliable
	"Boone County, MO"	"29019"	20	178271	11.2
	"Buchanan County, MO"	"29021"	10	89065	Unreliable
	"Butler County, MO"	"29023"	10	42666	Unreliable
	"Cass County, MO"	"29037"	15	103724	Unreliable
	"Christian County, MO"	"29043"	16	85432	Unreliable
	"Clay County, MO"	"29047"	26	242874	10.7
	"Franklin County, MO"	"29071"	29	103330	28.1
	"Greene County, MO"	"29077"	76	289805	26.2
	"Jackson County, MO"	"29095"	123	698895	17.6
	"Jasper County, MO"	"29097"	16	120217	Unreliable
	"Jefferson County, MO"	"29099"	89	223810	39.8
	"Lincoln County, MO"	"29113"	13	56183	Unreliable
	"Phelps County, MO"	"29161"	16	44744	Unreliable
	"Platte County, MO"	"29165"	12	101187	Unreliable
	"Pulaski County, MO"	"29169"	10	52059	Unreliable
	"St. Charles County, MO"	"29183"	93	395504	23.5
	"St. Francois County, MO"	"29187"	17	66705	Unreliable
	"St. Louis County, MO"	"29189"	289	996726	29.0
	"Taney County, MO"	"29213"	19	55355	Unreliable
	"Warren County, MO"	"29219"	10	34373	Unreliable
	"Webster County, MO"	"29225"	10	38665	Unreliable
	"St. Louis city, MO"	"29510"	213	308626	69.0
	"Cascade County, MT"	"30013"	11	81654	Unreliable
	"Flathead County, MT"	"30029"	15	100000	Unreliable
	"Yellowstone County, MT"	"30111"	25	158980	15.7
	"Douglas County, NE"	"31055"	64	561620	11.4
	"Lancaster County, NE"	"31109"	21	314358	6.7
	"Sarpy County, NE"	"31153"	11	181439	Unreliable
	"Clark County, NV"	"32003"	464	2204079	21.1
	"Lyon County, NV"	"32019"	18	54122	Unreliable
	"Nye County, NV"	"32023"	16	44202	Unreliable
	"Washoe County, NV"	"32031"	126	460587	27.4
	"Carson City, NV"	"32510"	21	54745	38.4
	"Belknap County, NH"	"33001"	26	60785	42.8
	"Carroll County, NH"	"33003"	16	48064	Unreliable
	"Cheshire County, NH"	"33005"	23	75960	30.3
	"Coos County, NH"	"33007"	11	31634	Unreliable
	"Grafton County, NH"	"33009"	21	89386	23.5
	"Hillsborough County, NH"	"33011"	181	409697	44.2
	"Merrimack County, NH"	"33013"	39	149216	26.1
	"Rockingham County, NH"	"33015"	95	306363	31.0
	"Strafford County, NH"	"33017"	52	128613	40.4
	"Atlantic County, NJ"	"34001"	134	269918	49.6
	"Bergen County, NJ"	"34003"	146	948406	15.4
	"Burlington County, NJ"	"34005"	170	448596	37.9
	"Camden County, NJ"	"34007"	285	510719	55.8
	"Cape May County, NJ"	"34009"	52	93553	55.6
	"Cumberland County, NJ"	"34011"	80	152538	52.4
	"Essex County, NJ"	"34013"	280	808285	34.6
	"Gloucester County, NJ"	"34015"	143	292206	48.9
	"Hudson County, NJ"	"34017"	136	691643	19.7
	"Hunterdon County, NJ"	"34019"	26	125059	20.8
	"Mercer County, NJ"	"34021"	100	374733	26.7
	"Middlesex County, NJ"	"34023"	217	842798	25.7
	"Monmouth County, NJ"	"34025"	195	626351	31.1
	"Morris County, NJ"	"34027"	106	499693	21.2
	"Ocean County, NJ"	"34029"	217	597943	36.3
	"Passaic County, NJ"	"34031"	114	512607	22.2
	"Salem County, NJ"	"34033"	19	62792	Unreliable
	"Somerset County, NJ"	"34035"	68	335432	20.3
	"Sussex County, NJ"	"34037"	36	141682	25.4
	"Union County, NJ"	"34039"	121	563892	21.5
	"Warren County, NJ"	"34041"	40	106798	37.5
	"Bernalillo County, NM"	"35001"	171	676773	25.3
	"Chaves County, NM"	"35005"	22	64866	33.9
	"Dona Ana County, NM"	"35013"	36	215579	16.7
	"Eddy County, NM"	"35015"	14	56997	Unreliable
	"Grant County, NM"	"35017"	12	27687	Unreliable
	"Lea County, NM"	"35025"	12	68759	Unreliable
	"Otero County, NM"	"35035"	12	65817	Unreliable
	"Rio Arriba County, NM"	"35039"	30	39159	76.6
	"Sandoval County, NM"	"35043"	29	142507	20.3
	"San Juan County, NM"	"35045"	25	126926	19.7
	"San Miguel County, NM"	"35047"	11	27748	Unreliable
