"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Plymouth County, MA"	"25023"	221	515142	42.9
	"Suffolk County, MA"	"25025"	293	797939	36.7
	"Worcester County, MA"	"25027"	284	826116	34.4
	"Allegan County, MI"	"26005"	16	116447	Unreliable
	"Bay County, MI"	"26017"	28	104239	26.9
	"Berrien County, MI"	"26021"	25	154259	16.2
	"Calhoun County, MI"	"26025"	48	134128	35.8
	"Clinton County, MI"	"26037"	13	78443	Unreliable
	"Eaton County, MI"	"26045"	20	109027	18.3
	"Genesee County, MI"	"26049"	173	407385	42.5
	"Grand Traverse County, MI"	"26055"	21	91807	22.9
	"Huron County, MI"	"26063"	11	31280	Unreliable
	"Ingham County, MI"	"26065"	77	290186	26.5
	"Ionia County, MI"	"26067"	12	64291	Unreliable
	"Isabella County, MI"	"26073"	10	71063	Unreliable
	"Jackson County, MI"	"26075"	62	158640	39.1
	"Kalamazoo County, MI"	"26077"	55	262985	20.9
	"Kent County, MI"	"26081"	129	648594	19.9
	"Lapeer County, MI"	"26087"	23	88174	26.1
	"Lenawee County, MI"	"26091"	15	98623	Unreliable
	"Livingston County, MI"	"26093"	44	189651	23.2
	"Macomb County, MI"	"26099"	413	871375	47.4
	"Midland County, MI"	"26111"	10	83411	Unreliable
	"Monroe County, MI"	"26115"	63	149649	42.1
	"Montcalm County, MI"	"26117"	15	63550	Unreliable
	"Muskegon County, MI"	"26121"	42	173693	24.2
	"Newaygo County, MI"	"26123"	11	48242	Unreliable
	"Oakland County, MI"	"26125"	354	1250836	28.3
	"Osceola County, MI"	"26133"	10	23260	Unreliable
	"Ottawa County, MI"	"26139"	47	286383	16.4
	"Saginaw County, MI"	"26145"	54	191934	28.1
	"St. Clair County, MI"	"26147"	68	159350	42.7
	"Shiawassee County, MI"	"26155"	21	68446	30.7
	"Van Buren County, MI"	"26159"	24	75353	31.9
	"Washtenaw County, MI"	"26161"	73	367627	19.9
	"Wayne County, MI"	"26163"	811	1753616	46.2
	"Wexford County, MI"	"26165"	10	33276	Unreliable
	"Anoka County, MN"	"27003"	53	351373	15.1
	"Cass County, MN"	"27021"	10	29355	Unreliable
	"Chisago County, MN"	"27025"	11	55308	Unreliable
	"Dakota County, MN"	"27037"	45	421751	10.7
	"Hennepin County, MN"	"27053"	235	1252024	18.8
	"Mille Lacs County, MN"	"27095"	12	25872	Unreliable
	"Olmsted County, MN"	"27109"	15	154930	Unreliable
	"Ramsey County, MN"	"27123"	113	547974	20.6
	"St. Louis County, MN"	"27137"	41	200000	20.5
	"Scott County, MN"	"27139"	17	145827	Unreliable
	"Sherburne County, MN"	"27141"	10	94570	Unreliable
	"Stearns County, MN"	"27145"	21	157822	13.3
	"Washington County, MN"	"27163"	30	256348	11.7
	"Wright County, MN"	"27171"	13	134286	Unreliable
	"DeSoto County, MS"	"28033"	37	178751	20.7
	"Forrest County, MS"	"28035"	12	75471	Unreliable
	"Hancock County, MS"	"28045"	19	47053	Unreliable
	"Harrison County, MS"	"28047"	51	205027	24.9
	"Hinds County, MS"	"28049"	32	239497	13.4
	"Jackson County, MS"	"28059"	25	142152	17.6
	"Jones County, MS"	"28067"	13	67930	Unreliable
	"Lee County, MS"	"28081"	13	84933	Unreliable
	"Pearl River County, MS"	"28109"	22	55270	39.8
	"Rankin County, MS"	"28121"	15	152080	Unreliable
	"Boone County, MO"	"29019"	22	178271	12.3
	"Buchanan County, MO"	"29021"	10	89065	Unreliable
	"Butler County, MO"	"29023"	12	42666	Unreliable
	"Cass County, MO"	"29037"	16	103724	Unreliable
	"Christian County, MO"	"29043"	16	85432	Unreliable
	"Clay County, MO"	"29047"	30	242874	12.4
	"Franklin County, MO"	"29071"	29	103330	28.1
	"Greene County, MO"	"29077"	82	289805	28.3
	"Jackson County, MO"	"29095"	132	698895	18.9
	"Jasper County, MO"	"29097"	16	120217	Unreliable
	"Jefferson County, MO"	"29099"	89	223810	39.8
	"Lincoln County, MO"	"29113"	14	56183	Unreliable
	"Phelps County, MO"	"29161"	16	44744	Unreliable
	"Platte County, MO"	"29165"	13	101187	Unreliable
	"Pulaski County, MO"	"29169"	10	52059	Unreliable
	"St. Charles County, MO"	"29183"	94	395504	23.8
	"St. Francois County, MO"	"29187"	20	66705	30.0
	"St. Louis County, MO"	"29189"	295	996726	29.6
	"Taney County, MO"	"29213"	19	55355	Unreliable
	"Warren County, MO"	"29219"	10	34373	Unreliable
	"Webster County, MO"	"29225"	10	38665	Unreliable
	"St. Louis city, MO"	"29510"	216	308626	70.0
	"Cascade County, MT"	"30013"	11	81654	Unreliable
	"Flathead County, MT"	"30029"	15	100000	Unreliable
	"Lewis and Clark County, MT"	"30049"	10	67773	Unreliable
	"Missoula County, MT"	"30063"	10	117441	Unreliable
	"Yellowstone County, MT"	"30111"	28	158980	17.6
	"Douglas County, NE"	"31055"	68	561620	12.1
	"Lancaster County, NE"	"31109"	22	314358	7.0
	"Sarpy County, NE"	"31153"	12	181439	Unreliable
	"Clark County, NV"	"32003"	478	2204079	21.7
	"Lyon County, NV"	"32019"	18	54122	Unreliable
	"Nye County, NV"	"32023"	17	44202	Unreliable
	"Washoe County, NV"	"32031"	131	460587	28.4
	"Carson City, NV"	"32510"	22	54745	40.2
	"Belknap County, NH"	"33001"	26	60785	42.8
	"Carroll County, NH"	"33003"	17	48064	Unreliable
	"Cheshire County, NH"	"33005"	25	75960	32.9
	"Coos County, NH"	"33007"	12	31634	Unreliable
	"Grafton County, NH"	"33009"	21	89386	23.5
	"Hillsborough County, NH"	"33011"	186	409697	45.4
	"Merrimack County, NH"	"33013"	40	149216	26.8
	"Rockingham County, NH"	"33015"	95	306363	31.0
	"Strafford County, NH"	"33017"	53	128613	41.2
	"Atlantic County, NJ"	"34001"	140	269918	51.9
	"Bergen County, NJ"	"34003"	150	948406	15.8
	"Burlington County, NJ"	"34005"	172	448596	38.3
	"Camden County, NJ"	"34007"	287	510719	56.2
	"Cape May County, NJ"	"34009"	53	93553	56.7
	"Cumberland County, NJ"	"34011"	86	152538	56.4
	"Essex County, NJ"	"34013"	287	808285	35.5
	"Gloucester County, NJ"	"34015"	144	292206	49.3
	"Hudson County, NJ"	"34017"	143	691643	20.7
	"Hunterdon County, NJ"	"34019"	27	125059	21.6
	"Mercer County, NJ"	"34021"	103	374733	27.5
	"Middlesex County, NJ"	"34023"	220	842798	26.1
	"Monmouth County, NJ"	"34025"	198	626351	31.6
	"Morris County, NJ"	"34027"	109	499693	21.8
	"Ocean County, NJ"	"34029"	221	597943	37.0
	"Passaic County, NJ"	"34031"	121	512607	23.6
	"Salem County, NJ"	"34033"	19	62792	Unreliable
	"Somerset County, NJ"	"34035"	68	335432	20.3
	"Sussex County, NJ"	"34037"	36	141682	25.4
	"Union County, NJ"	"34039"	127	563892	22.5
	"Warren County, NJ"	"34041"	41	106798	38.4
	"Bernalillo County, NM"	"35001"	181	676773	26.7
	"Chaves County, NM"	"35005"	26	64866	40.1
	"Dona Ana County, NM"	"35013"	38	215579	17.6
	"Eddy County, NM"	"35015"	14	56997	Unreliable
	"Grant County, NM"	"35017"	12	27687	Unreliable
	"Lea County, NM"	"35025"	13	68759	Unreliable
	"Otero County, NM"	"35035"	12	65817	Unreliable
	"Rio Arriba County, NM"	"35039"	32	39159	81.7
	"Sandoval County, NM"	"35043"	30	142507	21.1
	"San Juan County, NM"	"35045"	26	126926	20.5
	"San Miguel County, NM"	"35047"	11	27748	Unreliable
	"Santa Fe County, NM"	"35049"	34	148750	22.9
	"Valencia County, NM"	"35061"	30	75940	39.5
	"Albany County, NY"	"36001"	50	309612	16.1
	"Bronx County, NY"	"36005"	404	1471160	27.5
	"Broome County, NY"	"36007"	71	193639	36.7
	"Cattaraugus County, NY"	"36009"	16	77348	Unreliable
	"Cayuga County, NY"	"36011"	23	77603	29.6
	"Chautauqua County, NY"	"36013"	41	129046	31.8
	"Chemung County, NY"	"36015"	28	85557	32.7
	"Clinton County, NY"	"36019"	18	80980	Unreliable
	"Columbia County, NY"	"36021"	20	60604	33.0
	"Cortland County, NY"	"36023"	15	47786	Unreliable
	"Dutchess County, NY"	"36027"	89	295568	30.1
	"Erie County, NY"	"36029"	292	925528	31.5
	"Genesee County, NY"	"36037"	14	57956	Unreliable
	"Greene County, NY"	"36039"	13	47470	Unreliable
	"Jefferson County, NY"	"36045"	26	114187	22.8
	"Kings County, NY"	"36047"	403	2648771	15.2
	"Lewis County, NY"	"36049"	12	26551	Unreliable
	"Livingston County, NY"	"36051"	10	63799	Unreliable
	"Monroe County, NY"	"36055"	208	747642	27.8
	"Nassau County, NY"	"36059"	236	1369514	17.2
	"New York County, NY"	"36061"	285	1664727	17.1
	"Niagara County, NY"	"36063"	50	211328	23.7
	"Oneida County, NY"	"36065"	61	231332	26.4
	"Onondaga County, NY"	"36067"	99	465398	21.3
	"Ontario County, NY"	"36069"	24	109899	21.8
	"Orange County, NY"	"36071"	97	382226	25.4
	"Oswego County, NY"	"36075"	24	118478	20.3
	"Otsego County, NY"	"36077"	11	60094	Unreliable
	"Putnam County, NY"	"36079"	33	99323	33.2
	"Queens County, NY"	"36081"	300	2358582	12.7
	"Rensselaer County, NY"	"36083"	23	159722	14.4
	"Richmond County, NY"	"36085"	122	479458	25.4
	"Rockland County, NY"	"36087"	43	328868	13.1
	"St. Lawrence County, NY"	"36089"	17	109623	Unreliable
	"Saratoga County, NY"	"36091"	22	229869	9.6
	"Schenectady County, NY"	"36093"	41	155565	26.4
	"Steuben County, NY"	"36101"	16	96281	Unreliable
	"Suffolk County, NY"	"36103"	489	1492953	32.8
	"Sullivan County, NY"	"36105"	31	75485	41.1
	"Tioga County, NY"	"36107"	11	48578	Unreliable
	"Tompkins County, NY"	"36109"	22	104802	21.0
	"Ulster County, NY"	"36111"	56	179417	31.2
	"Wayne County, NY"	"36117"	11	90670	Unreliable
	"Westchester County, NY"	"36119"	146	980244	14.9
	"Alamance County, NC"	"37001"	48	162391	29.6
	"Beaufort County, NC"	"37013"	21	47088	44.6
	"Brunswick County, NC"	"37019"	52	130897	39.7
	"Buncombe County, NC"	"37021"	118	257607	45.8
	"Burke County, NC"	"37023"	32	89293	35.8
	"Cabarrus County, NC"	"37025"	73	206872	35.3
	"Caldwell County, NC"	"37027"	19	81981	Unreliable
	"Carteret County, NC"	"37031"	20	68881	29.0
	"Catawba County, NC"	"37035"	43	157974	27.2
	"Chatham County, NC"	"37037"	11	71472	Unreliable
	"Cherokee County, NC"	"37039"	10	28087	Unreliable
	"Cleveland County, NC"	"37045"	13	97334	Unreliable
	"Columbus County, NC"	"37047"	17	55936	Unreliable
	"Craven County, NC"	"37049"	41	102578	40.0
	"Cumberland County, NC"	"37051"	109	332546	32.8
	"Dare County, NC"	"37055"	15	36099	Unreliable
	"Davidson County, NC"	"37057"	59	165466	35.7
	"Durham County, NC"	"37063"	51	311640	16.4
	"Edgecombe County, NC"	"37065"	12	52747	Unreliable
	"Forsyth County, NC"	"37067"	89	376320	23.7
	"Franklin County, NC"	"37069"	12	66168	Unreliable
	"Gaston County, NC"	"37071"	57	220182	25.9
	"Granville County, NC"	"37077"	13	59557	Unreliable
	"Guilford County, NC"	"37081"	129	526953	24.5
	"Harnett County, NC"	"37085"	35	132754	26.4
	"Haywood County, NC"	"37087"	19	61084	Unreliable
	"Henderson County, NC"	"37089"	36	115708	31.1
	"Iredell County, NC"	"37097"	40	175711	22.8
	"Jackson County, NC"	"37099"	14	42973	Unreliable
	"Johnston County, NC"	"37101"	40	196708	20.3
	"Lee County, NC"	"37105"	21	60430	34.8
	"Lenoir County, NC"	"37107"	20	56883	35.2
	"Lincoln County, NC"	"37109"	10	82403	Unreliable
	"McDowell County, NC"	"37111"	17	45159	Unreliable
	"Macon County, NC"	"37113"	12	34732	Unreliable
	"Mecklenburg County, NC"	"37119"	205	1076837	19.0
	"Moore County, NC"	"37125"	17	97264	Unreliable
	"Nash County, NC"	"37127"	15	93991	Unreliable
	"New Hanover County, NC"	"37129"	87	227198	38.3
	"Onslow County, NC"	"37133"	37	193893	19.1
	"Orange County, NC"	"37135"	13	144946	Unreliable
	"Pender County, NC"	"37141"	16	60958	Unreliable
	"Pitt County, NC"	"37147"	53	179042	29.6
	"Randolph County, NC"	"37151"	59	143282	41.2
	"Robeson County, NC"	"37155"	27	132606	20.4
	"Rockingham County, NC"	"37157"	26	90949	28.6
	"Rowan County, NC"	"37159"	73	140644	51.9
	"Rutherford County, NC"	"37161"	21	66551	31.6
	"Sampson County, NC"	"37163"	11	63430	Unreliable
	"Stanly County, NC"	"37167"	21	61482	34.2
	"Stokes County, NC"	"37169"	23	45717	50.3
	"Surry County, NC"	"37171"	22	72224	30.5
	"Union County, NC"	"37179"	36	231366	15.6
	"Vance County, NC"	"37181"	15	44211	Unreliable
	"Wake County, NC"	"37183"	153	1072203	14.3
	"Wayne County, NC"	"37191"	24	124172	19.3
	"Wilkes County, NC"	"37193"	21	68576	30.6
	"Wilson County, NC"	"37195"	15	81671	Unreliable
	"Cass County, ND"	"38017"	15	177787	Unreliable
	"Adams County, OH"	"39001"	16	27726	Unreliable
	"Allen County, OH"	"39003"	43	103198	41.7
	"Ashland County, OH"	"39005"	10	53628	Unreliable
	"Ashtabula County, OH"	"39007"	44	97807	45.0
	"Belmont County, OH"	"39013"	24	68029	35.3
	"Brown County, OH"	"39015"	32	43576	73.4
	"Butler County, OH"	"39017"	274	380604	72.0
	"Champaign County, OH"	"39021"	19	38840	Unreliable
	"Clark County, OH"	"39023"	98	134557	72.8
	"Clermont County, OH"	"39025"	98	204214	48.0
	"Clinton County, OH"	"39027"	31	42009	73.8
	"Columbiana County, OH"	"39029"	51	103077	49.5
	"Crawford County, OH"	"39033"	22	41746	52.7
	"Cuyahoga County, OH"	"39035"	630	1248514	50.5
	"Darke County, OH"	"39037"	29	51536	56.3
	"Delaware County, OH"	"39041"	32	200464	16.0
	"Erie County, OH"	"39043"	34	74817	45.4
	"Fairfield County, OH"	"39045"	52	154733	33.6
	"Fayette County, OH"	"39047"	30	28752	104.3
	"Franklin County, OH"	"39049"	469	1291981	36.3
	"Gallia County, OH"	"39053"	19	29973	Unreliable
	"Geauga County, OH"	"39055"	25	93918	26.6
	"Greene County, OH"	"39057"	71	166752	42.6
	"Guernsey County, OH"	"39059"	14	39093	Unreliable
	"Hamilton County, OH"	"39061"	468	813822	57.5
	"Hancock County, OH"	"39063"	35	75754	46.2
	"Highland County, OH"	"39071"	28	42971	65.2
	"Huron County, OH"	"39077"	34	58494	58.1
	"Jackson County, OH"	"39079"	11	32449	Unreliable
	"Jefferson County, OH"	"39081"	31	66359	46.7
	"Knox County, OH"	"39083"	16	61261	Unreliable
	"Lake County, OH"	"39085"	100	230117	43.5
	"Lawrence County, OH"	"39087"	34	60249	56.4
	"Licking County, OH"	"39089"	45	173448	25.9
	"Logan County, OH"	"39091"	18	45325	Unreliable
	"Lorain County, OH"	"39093"	142	307924	46.1
	"Lucas County, OH"	"39095"	174	430887	40.4
	"Madison County, OH"	"39097"	21	44036	47.7
	"Mahoning County, OH"	"39099"	120	229796	52.2
	"Marion County, OH"	"39101"	34	64967	52.3
	"Medina County, OH"	"39103"	51	178371	28.6
	"Miami County, OH"	"39109"	45	105122	42.8
	"Montgomery County, OH"	"39113"	541	531542	101.8
	"Morrow County, OH"	"39117"	12	34994	Unreliable
	"Muskingum County, OH"	"39119"	23	86149	26.7
	"Ottawa County, OH"	"39123"	12	40657	Unreliable
	"Pickaway County, OH"	"39129"	18	57830	Unreliable
	"Pike County, OH"	"39131"	19	28270	Unreliable
	"Portage County, OH"	"39133"	47	162277	29.0
	"Preble County, OH"	"39135"	31	41120	75.4
	"Richland County, OH"	"39139"	57	120589	47.3
	"Ross County, OH"	"39141"	30	77313	38.8
	"Sandusky County, OH"	"39143"	23	59195	38.9
	"Scioto County, OH"	"39145"	56	75929	73.8
	"Seneca County, OH"	"39147"	19	55243	Unreliable
	"Shelby County, OH"	"39149"	22	48759	45.1
	"Stark County, OH"	"39151"	113	372542	30.3
	"Summit County, OH"	"39153"	261	541228	48.2
	"Trumbull County, OH"	"39155"	138	200380	68.9
	"Tuscarawas County, OH"	"39157"	23	92297	24.9
	"Union County, OH"	"39159"	12	56741	Unreliable
	"Warren County, OH"	"39165"	90	228882	39.3
	"Washington County, OH"	"39167"	19	60418	Unreliable
	"Wayne County, OH"	"39169"	29	116038	25.0
	"Wood County, OH"	"39173"	19	130492	Unreliable
	"Canadian County, OK"	"40017"	17	139926	Unreliable
	"Carter County, OK"	"40019"	17	48190	Unreliable
	"Cleveland County, OK"	"40027"	36	279641	12.9
	"Comanche County, OK"	"40031"	16	121526	Unreliable
	"Creek County, OK"	"40037"	14	71704	Unreliable
	"Garvin County, OK"	"40049"	10	27909	Unreliable
	"Grady County, OK"	"40051"	10	54943	Unreliable
	"Kay County, OK"	"40071"	11	44544	Unreliable
	"Le Flore County, OK"	"40079"	13	49731	Unreliable
	"Logan County, OK"	"40083"	11	46784	Unreliable
	"Mayes County, OK"	"40097"	11	40921	Unreliable
	"Muskogee County, OK"	"40101"	13	69086	Unreliable
	"Oklahoma County, OK"	"40109"	176	787958	22.3
	"Okmulgee County, OK"	"40111"	12	38930	Unreliable
	"Osage County, OK"	"40113"	18	47233	Unreliable
	"Pottawatomie County, OK"	"40125"	14	72226	Unreliable
	"Rogers County, OK"	"40131"	10	91444	Unreliable
	"Sequoyah County, OK"	"40135"	14	41252	Unreliable
	"Tulsa County, OK"	"40143"	136	646266	21.0
	"Wagoner County, OK"	"40145"	19	78657	Unreliable
	"Clackamas County, OR"	"41005"	48	412672	11.6
	"Coos County, OR"	"41011"	15	63888	Unreliable
	"Deschutes County, OR"	"41017"	24	186875	12.8
	"Douglas County, OR"	"41019"	15	109405	Unreliable
	"Jackson County, OR"	"41029"	40	217479	18.4
	"Josephine County, OR"	"41033"	24	86352	27.8
	"Klamath County, OR"	"41035"	16	66935	Unreliable
	"Lane County, OR"	"41039"	87	374748	23.2
	"Lincoln County, OR"	"41041"	11	48920	Unreliable
	"Linn County, OR"	"41043"	15	125047	Unreliable
	"Marion County, OR"	"41047"	57	341286	16.7
	"Multnomah County, OR"	"41051"	188	807555	23.3
	"Washington County, OR"	"41067"	49	588957	8.3
	"Yamhill County, OR"	"41071"	17	105722	Unreliable
	"Adams County, PA"	"42001"	17	102336	Unreliable
	"Allegheny County, PA"	"42003"	765	1223048	62.5
	"Armstrong County, PA"	"42005"	36	65642	54.8
	"Beaver County, PA"	"42007"	92	166140	55.4
	"Bedford County, PA"	"42009"	20	48480	41.3
	"Berks County, PA"	"42011"	116	417854	27.8
	"Blair County, PA"	"42013"	47	123457	38.1
