,,,,,,,,,,,,,,,,,,,,,,
,  Male,160,180,170,185,204,206,214,256,298,401,395,419,626,722,941,"1,079","1,172","1,275","1,031",3.5,
,Heroin AND Other Synthetic Narcotics,3,,,1,2,,2,14,2,3,4,6,7,8,20,131,305,535,701,350.5,
,  Female,,,,,,,1,5,,2,1,,,2,7,42,96,160,199,,
,  Male,3,,,1,2,,1,9,2,1,3,6,7,6,13,89,209,375,502,251.0,
,Cocaine5,267,276,280,388,475,507,546,676,563,384,269,265,310,270,273,334,442,757,924,1.6,
,  Female,60,72,68,109,118,121,132,168,119,89,58,80,82,70,78,84,139,204,291,2.4,
,  Male,207,204,212,279,357,386,414,508,444,295,211,185,228,200,195,250,303,553,633,1.4,
,Cocaine AND Any Opioid,147,164,167,223,266,312,345,424,365,280,208,209,242,227,222,280,385,641,792,2.2,
,  Female,34,39,42,56,57,76,91,94,81,62,42,63,63,56,64,69,122,171,259,3.2,
,  Male,113,125,125,167,209,236,254,330,284,218,166,146,179,171,158,211,263,470,533,1.9,
,Cocaine AND Other Synthetic Narcotics,3,4,4,5,14,12,19,54,23,18,14,10,12,12,12,45,121,354,564,24.5,
,  Female,,3,1,1,3,2,2,17,7,5,5,6,4,2,2,13,40,114,188,26.9,
,  Male,3,1,3,4,11,10,17,37,16,13,9,4,8,10,10,32,81,240,376,23.5,
,Psychostimulants With Abuse Potential (methamphetamine)6,67,97,101,124,165,142,196,153,142,127,147,179,199,197,303,340,416,571,780,5.5,
,  Female,26,31,36,34,51,43,47,46,51,31,46,73,63,63,100,103,157,183,281,5.5,
,  Male,41,66,65,90,114,99,149,107,91,96,101,106,136,134,203,237,259,388,499,5.5,
,Psychostimulants With Abuse Potential AND Any Opioid,22,32,30,39,52,39,77,72,67,59,79,91,123,94,148,204,227,334,516,7.7,
,  Female,8,9,10,15,9,9,15,19,19,10,21,36,32,34,48,57,85,98,198,10.4,
,  Male,14,23,20,24,43,30,62,53,48,49,58,55,91,60,100,147,142,236,318,6.6,
,Benzodiazepines7,53,90,133,178,212,271,322,442,515,550,571,658,614,511,507,572,665,"1,046","1,031",2.0,
,Female ,12,22,26,42,53,60,83,95,145,133,147,172,158,137,133,167,189,247,298,2.1,
,Male,41,68,107,136,159,211,239,347,370,417,424,486,456,374,374,405,476,799,733,2.0,
,Benzodiazepines AND Any Opioid,37,74,104,146,170,237,281,387,452,486,517,605,569,479,452,514,602,931,942,2.1,
,  Female,6,17,19,32,37,52,68,78,128,114,130,157,149,128,117,147,164,217,275,2.1,
,  Male,31,57,85,114,133,185,213,309,324,372,387,448,420,351,335,367,438,714,667,2.1,
,Benzodiazepines AND Other Synthetic Narcotics,5,10,6,17,22,14,30,40,38,40,58,59,57,51,56,89,152,377,509,13.4,
,  Female,,2,1,4,4,3,8,4,13,8,18,16,13,14,17,25,43,92,153,11.8,
,  Male,5,8,5,13,18,11,22,36,25,32,40,43,44,37,39,64,109,285,356,14.2,
,Antidepressants8,59,68,88,102,115,147,152,126,150,157,177,198,183,159,173,206,203,200,231,1.5,
,Female ,27,36,30,52,56,65,77,69,66,74,76,78,83,68,75,98,105,94,111,1.7,
,Male,32,32,58,50,59,82,75,57,84,83,101,120,100,91,98,108,98,106,120,1.4,
,Antidepressants AND Any Opioid,13,20,38,44,57,69,79,52,88,94,103,126,114,90,101,121,104,102,125,1.4,
,  Female,3,11,12,15,28,28,33,24,33,37,41,51,48,36,40,49,49,40,51,1.5,
,  Male,10,9,26,29,29,41,46,28,55,57,62,75,66,54,61,72,55,62,74,1.3,
,Antidepressants AND Other Synthetic Narcotics,5,4,3,8,12,8,12,5,4,19,16,17,13,13,23,30,38,35,71,17.8,
,  Female,1,2,1,1,6,6,6,2,2,10,8,9,8,4,10,12,21,15,26,13.0,
,  Male,4,2,2,7,6,2,6,3,2,9,8,8,5,9,13,18,17,20,45,22.5,
,,,,,,,,,,,,,,,,,,,,,,
,"*Includes deaths with underlying causes of unintentional drug poisoning (X40–X44), suicide drug poisoning (X60–X64), homicide drug poisoning (X85), or drug poisoning of undetermined intent (Y10–Y14), as coded in the International Classification of Diseases, 10th Revision. ",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Years for which data are not provided include unreliable data,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"1 Any Opioid ICD-10 codes (T40.0-T40.4, T40.6)",,,,,,,,,,,,,,,,,,,,,
,2 Prescription Opioids  ICD-10 codes (T40.2-T40.3),,,,,,,,,,,,,,,,,,,,,
,3Other Synthetic Narcotics (other than methadone) ICD-10 code (T40.4)  This category is dominated by fentanyl related overdoses.  ,,,,,,,,,,,,,,,,,,,,,
,4Heroin ICD-10 codes (T40.1),,,,,,,,,,,,,,,,,,,,,
,5Cocaine ICD-10 codes (T40.5),,,,,,,,,,,,,,,,,,,,,
,6Psychostimulants With Abuse Potential ICD-10 code (T43.6)  This category is dominated by methamphetamine related overdoses.  ,,,,,,,,,,,,,,,,,,,,,
,7Benzodiazepines  ICD-10 code(T42.4),,,,,,,,,,,,,,,,,,,,,
,8Antidepressants ICD-10 code(T43.0-T43.2),,,,,,,,,,,,,,,,,,,,,
